รหัสรถ,ประเภทขนส่ง,รุ่นรถ,ประจำคลังโยกฟลีต,เบอร์รถ,ประเภทรถ
Oil481,Oil,FVM 240,คลัง ปักธงชัย,481,สิบล้อ
Oil482,Oil,FVM 240,คลัง ปักธงชัย,482,สิบล้อ
Oil483,Oil,FVM 240,คลัง ชุมพร,483,สิบล้อ
Oil484,Oil,FVM 240,คลัง ชุมพร,484,สิบล้อ
Oil485,Oil,FVM 240,คลัง ชุมพร,485,สิบล้อ
Oil486,Oil,FVM 240,คลัง พิษณุโลก,486,สิบล้อ
Oil487,Oil,FVM 240,คลัง ศรีราชา,487,สิบล้อ
Oil488,Oil,FVM 240,คลัง ศรีราชา,488,สิบล้อ
Oil489,Oil,FVM 240,รถสำรอง Fleet SR,489,สิบล้อ
Oil490,Oil,FVM 240,คลัง ศรีราชา,490,สิบล้อ
Oil491,Oil,FVM 240,คลัง ศรีราชา,491,สิบล้อ
Oil492,Oil,FVM 240,คลัง ศรีราชา,492,สิบล้อ
Oil493,Oil,FVM 240,คลัง ปักธงชัย,493,สิบล้อ
Oil494,Oil,FVM 240,คลัง ปักธงชัย,494,สิบล้อ
Oil495,Oil,FVM 240,คลัง สุรินทร์,495,สิบล้อ
Oil496,Oil,FVM 240,คลัง พิษณุโลก,496,สิบล้อ
Oil497,Oil,FVM 240,คลัง นครสวรรค์,497,สิบล้อ
Oil498,Oil,FVM 240,คลัง ศรีราชา,498,สิบล้อ
Oil499,Oil,FVM 240,คลัง ศรีราชา,499,สิบล้อ
Oil500,Oil,FVZ 240,คลัง ลำปาง,500,สิบล้อ
Oil501,Oil,FVZ 240,คลัง ลำปาง,501,สิบล้อ
Oil502,Oil,FVM 240,คลัง สุรินทร์,502,สิบล้อ
Oil503,Oil,FVM 240,คลัง สุรินทร์,503,สิบล้อ
Oil504,Oil,FVM 240,คลัง ปักธงชัย,504,สิบล้อ
Oil505,Oil,FVM 240,คลัง สุรินทร์,505,สิบล้อ
Oil506,Oil,FVZ 240,คลัง นครสวรรค์,506,สิบล้อ
Oil507,Oil,FVM 240,คลัง ศรีราชา,507,สิบล้อ
Oil508,Oil,FVM 240,คลัง ศรีราชา,508,สิบล้อ
Oil509,Oil,FVM 240,คลัง ศรีราชา,509,สิบล้อ
Oil510,Oil,FVM 240,คลัง หนองแค,510,สิบล้อ
Oil511,Oil,FVM 240,คลัง หนองแค,511,สิบล้อ
Oil522,Oil,FVZ 240,คลัง ลำปาง,522,สิบล้อ
Oil523,Oil,FVM 240,คลัง ศรีราชา,523,สิบล้อ
Oil524,Oil,FVM 240,คลัง หนองแค,524,สิบล้อ
Oil525,Oil,FVM 240,คลัง ลำปาง,525,สิบล้อ
Oil526,Oil,FVM 240,คลัง ปักธงชัย,526,สิบล้อ
Oil527,Oil,FVM 240,คลัง ปักธงชัย,527,สิบล้อ
Oil528,Oil,FVM 240,คลัง สุรินทร์,528,สิบล้อ
Oil529,Oil,FVM 240,คลัง ขอนแก่น,529,สิบล้อ
Oil530,Oil,FVM 240,คลัง ขอนแก่น,530,สิบล้อ
Oil531,Oil,FVM 240,คลัง ขอนแก่น,531,สิบล้อ
Oil532,Oil,FVM 240,คลัง ขอนแก่น,532,สิบล้อ
Oil533,Oil,FVM 240,คลัง ลำปาง,533,สิบล้อ
Oil534,Oil,FVM 240,คลัง ขอนแก่น,534,สิบล้อ
Oil535,Oil,FVM 240,คลัง สุรินทร์,535,สิบล้อ
Oil536,Oil,FVM 240,คลัง ขอนแก่น,536,สิบล้อ
Oil537,Oil,FVM 240,คลัง ศรีราชา,537,สิบล้อ
Oil538,Oil,FVM 240,คลัง พิษณุโลก,538,สิบล้อ
Oil539,Oil,FVM 240,คลัง ศรีราชา,539,สิบล้อ
Oil540,Oil,FVM 240,คลัง ศรีราชา,540,สิบล้อ
Oil541,Oil,FVM 240,คลัง ฟลีตสุราษฎ์ธานี,541,สิบล้อ
Oil542,Oil,FVM 240,คลัง ขอนแก่น,542,สิบล้อ
Oil543,Oil,FVM 240,คลัง ศรีราชา,543,สิบล้อ
Oil544,Oil,FVM 240,คลัง ศรีราชา,544,สิบล้อ
Oil545,Oil,FVM 240,คลัง ลำปาง,545,สิบล้อ
Oil546,Oil,FVM 240,คลัง หนองแค,546,สิบล้อ
Oil547,Oil,FVM 240,คลัง หนองแค,547,สิบล้อ
Oil548,Oil,FVM 240,คลัง ลำปาง,548,สิบล้อ
Oil550,Oil,FVM 240,รถสำรอง Fleet SR,550,สิบล้อ
Oil551,Oil,FVM 240,คลัง ฟลีตสุราษฎ์ธานี,551,สิบล้อ
Oil552,Oil,FVM 240,คลัง สุรินทร์,552,สิบล้อ
Oil553,Oil,FVM 240,คลัง ปักธงชัย,553,สิบล้อ
Oil554,Oil,FVM 240,คลัง สุรินทร์,554,สิบล้อ
Oil555,Oil,FVM 240,คลัง นครสวรรค์,555,สิบล้อ
Oil556,Oil,FVM 240,คลัง ปักธงชัย,556,สิบล้อ
Oil557,Oil,FVM 240,รถสำรอง Fleet SR,557,สิบล้อ
Oil558,Oil,FVM 240,คลัง พิษณุโลก,558,สิบล้อ
Oil559,Oil,FVM 240,คลัง ขอนแก่น,559,สิบล้อ
Oil560,Oil,FVM 240,คลัง ชุมพร,560,สิบล้อ
Oil561,Oil,FVM 240,คลัง ลำปาง,561,สิบล้อ
Oil562,Oil,FVM 240,รถสำรอง Fleet SR,562,สิบล้อ
Oil563,Oil,FVM 240,คลัง ปักธงชัย,563,สิบล้อ
Oil564,Oil,FVM 240,คลัง สุรินทร์,564,สิบล้อ
Oil565,Oil,FVM 240,คลัง ลำปาง,565,สิบล้อ
Oil566,Oil,FVM 240,คลัง ลำปาง,566,สิบล้อ
Oil567,Oil,FVZ 240,คลัง ลำปาง,567,สิบล้อ
Oil568,Oil,FVM 240,คลัง แม่กลอง,568,สิบล้อ
Oil569,Oil,FVM 240,คลัง หนองแค,569,สิบล้อ
Oil570,Oil,FVM 240,คลัง ศรีราชา,570,สิบล้อ
Oil571,Oil,FVM 240,คลัง ขอนแก่น,571,สิบล้อ
Oil572,Oil,FVM 240,คลัง ชุมพร,572,สิบล้อ
Oil573,Oil,FVM 240,รถสำรอง Fleet SR,573,สิบล้อ
Oil574,Oil,FVM 240,คลัง พิษณุโลก,574,สิบล้อ
Oil575,Oil,FVM 240,คลัง พิษณุโลก,575,สิบล้อ
Oil576,Oil,FVM 240,คลัง พิษณุโลก,576,สิบล้อ
Oil577,Oil,FVM 240,คลัง พิษณุโลก,577,สิบล้อ
Oil578,Oil,FVM 240,คลัง ปักธงชัย,578,สิบล้อ
Oil579,Oil,FVM 240,คลัง ปักธงชัย,579,สิบล้อ
Oil580,Oil,FVM 240,คลัง สุรินทร์,580,สิบล้อ
Oil581,Oil,FVM 240,คลัง ปักธงชัย,581,สิบล้อ
Oil582,Oil,FVM 240,รถสำรอง Fleet SR,582,สิบล้อ
Oil583,Oil,FVM 240,รถสำรอง Fleet SR,583,สิบล้อ
Oil584,Oil,FVM 240,รถสำรอง Fleet SR,584,สิบล้อ
Oil585,Oil,FVM 240,รถสำรอง Fleet SR,585,สิบล้อ
Oil586,Oil,FVM 240,รถสำรอง Fleet SR,586,สิบล้อ
Oil587,Oil,FVM 240,คลัง ลำปาง,587,สิบล้อ
Oil588,Oil,FVM 240,คลัง พิษณุโลก,588,สิบล้อ
Oil589,Oil,FVM 240,คลัง สุรินทร์,589,สิบล้อ
Oil590,Oil,FVM 240,คลัง สุรินทร์,590,สิบล้อ
Oil591,Oil,FVM 240,คลัง สุรินทร์,591,สิบล้อ
Oil592,Oil,FVM 240,คลัง ปักธงชัย,592,สิบล้อ
Oil593,Oil,FVM 240,คลัง ลำปาง,593,สิบล้อ
Oil594,Oil,FVM 240,คลัง ลำปาง,594,สิบล้อ
Oil595,Oil,FVM 240,คลัง ขอนแก่น,595,สิบล้อ
Oil596,Oil,FVM 240,คลัง สุรินทร์,596,สิบล้อ
Oil597,Oil,FVM 240,คลัง ลำปาง,597,สิบล้อ
Oil599,Oil,FVM 240,คลัง สุรินทร์,599,สิบล้อ
Oil600,Oil,FVM 240,คลัง ชุมพร,600,สิบล้อ
Oil601,Oil,FVM 240,คลัง ศรีราชา,601,สิบล้อ
Oil602,Oil,FVM 240,คลัง ศรีราชา,602,สิบล้อ
Oil603,Oil,FVM 240,รถสำรอง Fleet SR,603,สิบล้อ
Oil604,Oil,FVM 240,คลัง ฟลีตสุราษฎ์ธานี,604,สิบล้อ
Oil605,Oil,FVM 240,คลัง ลำปาง,605,สิบล้อ
Oil606,Oil,FVM 240,คลัง หนองแค,606,สิบล้อ
Oil607,Oil,FVM 240,คลัง หนองแค,607,สิบล้อ
